Tweet Content,Tweet URL,Category No.,,LEGEND,,,Distribution,
*have concluded,https://twitter.com/wojespn/status/1342250141219221504,5,,,,,,
"League also tells teams that they ""may not engage in efforts to procure or administer Covid-19 vaccinations on a team-wide basis"" that's not permissible under CDC or local public health guidance regarding vaccine prioritization, memo says. https://t.co/BpOIHEAIHx",https://twitter.com/wojespn/status/1342248814716063748,1,,,,,,
"NBA has informed teams that infectious disease and public health experts advising the league has concluded, consistent with FDA, that the new Pfizer and Moderna vaccines are ""safe and effective,"" league tells teams in a memo obtained by ESPN.",https://twitter.com/wojespn/status/1342248348229775362,1,,,,,,
"After surgery on his fractured left hand in New York today, Charlotte Hornets center Cody Zeller is expected to miss four-to-six weeks, source tells ESPN.",https://twitter.com/wojespn/status/1342229339883134977,2,,,,,,
"ESPN story on NBA requiring Houston's James Harden to remain in quarantine until Friday, clearing the way for him to play Saturday against the Blazers. https://t.co/oPVi9GW2eR",https://twitter.com/wojespn/status/1342159442205413383,5,,,,,,
"Essentially, NBA medical is directing a four-day quarantine that started on Tuesday. https://t.co/hXWjNdXAIo",https://twitter.com/wojespn/status/1342140463902560257,1,,,,,,
"Rockets guard James Harden will be required to isolate until Friday and continue to test negative for the coronavirus before being cleared to return to play, sources tell ESPN. He should be available to play Saturday vs Blazers.",https://twitter.com/wojespn/status/1342139253782929409,2,,,,,,
"The Kings are signing C Chimezie Metu to a two-way contract, source tells ESPN.",https://twitter.com/wojespn/status/1341961478170169345,4,,,,,,
"Too soon to tell how much time Zeller will miss, source tells ESPN, but a tough blow for Hornets on opening night. https://t.co/E3XnfgPF1S",https://twitter.com/wojespn/status/1341931583553613826,2,,,,,,
"Rockets and Harden are awaiting word on NBA medical staff to decide on how long of a quarantine will be necessary before he's cleared to return to the team. Besides the 50K fine for violating protocol, Harden will lose $284K in salary for each missed game.",https://twitter.com/wojespn/status/1341929434304163844,0,,,,,,
"Hornets C Cody Zeller fractured his left hand, team says.",https://twitter.com/wojespn/status/1341928662313132034,2,,,,,,
"After the NBA declared James Harden ""unavailable due to violation of health and safety protocols,"" it is still unclear to both Harden and the Rockets how long he'll be unavailable or whether he'll face league punishment, sources tell @ramonashelburne and me.",https://twitter.com/wojespn/status/1341875653319127041,2,,,,,,
"The Rockets don't have the required eight available players, league says.",https://twitter.com/wojespn/status/1341872675824779266,1,,,,,,
"Game is postponed, league says. https://t.co/47WBTLdS8W",https://twitter.com/wojespn/status/1341872463777574919,1,,,,,,
"The Houston Rockets and Oklahoma City Thunder game is in jeopardy of postponement tonight, sources tell ESPN. No final word yet.",https://twitter.com/wojespn/status/1341870168507637776,1,,,,,,
"Another Rockets player whose status is uncertain tonight pending contact tracing protocols: two-way rookie guard Mason Jones, sources tell ESPN.",https://twitter.com/wojespn/status/1341850016751771648,0,,,,,,
"League rules mandate that the Houston Rockets have eight eligible players to start the game vs. OKC tonight, and so far, it appears they'd have enough to do that. Still, the Rockets could be cutting it close.",https://twitter.com/wojespn/status/1341842393843322882,1,,,,,,
"ESPN Sources: In the past 24 hours, Rockets rookie KJ Martin had one positive coronavirus test result followed by a negative test result -- and now awaits results of an additional test. https://t.co/9PR8XX0NZk",https://twitter.com/wojespn/status/1341839766166384643,5,,,,,,
ESPN story on Rockets' contact tracing after several players -- including John Wall and DeMarcus Cousins -- gathered for haircuts: https://t.co/FNaLCpFFA3,https://twitter.com/wojespn/status/1341832403820666881,5,,,,,,
"There was a group of Houston players -- including Martin, John Wall, DeMarcus Cousins -- away from the facility at an apartment getting haircuts, sources said. That's led to the contact tracing on Wall and Cousins as team awaits more testing results on Martin, sources said.",https://twitter.com/wojespn/status/1341817481728581632,0,,,,,,
"Rockets C DeMarcus Cousins has tested negative for the coronavirus, source tells ESPN.",https://twitter.com/wojespn/status/1341817152496676864,0,,,,,,
"The Rockets contact tracing is connected to testing on rookie KJ Martin, sources tell ESPN. Martin is on team injury report now as ""not with team, self isolating."" https://t.co/nnOhyU8K2x",https://twitter.com/wojespn/status/1341815786457985027,2,,,,,,
"As Rockets disclosed yesterday, Ben McLemore is in self-isolation and out for tonight's game vs. OKC. McLemore tested positive for the coronavirus days ago, sources said, and has been in isolation. He isn't the teammate whose positive test initiated contact tracing today on team. https://t.co/VCH4pAVm2e",https://twitter.com/wojespn/status/1341807360369692674,2,,,,,,
"Houston guard John Wall has tested negative for the coronavirus, but is among a group of Rockets sent home today because of a positive test of another teammate, sources tell ESPN. That other player is getting tested again to confirm he's contracted the coronavirus, sources said.",https://twitter.com/wojespn/status/1341806775654297608,0,,,,,,
"@RyanHockensmith It’s on the way, Ryan! Beautiful story.",https://twitter.com/wojespn/status/1341774779334979584,5,,,,,,
"Sacramento Kings GM Monte McNair on The Woj Pod: The new job, Vivek and Luke Walton, Bogdanovic decision, wildest idea he remembers in Rockets front office, making analytics fit NBA real world, Jim Harbaugh fandom: 
 ESPN: https://t.co/mhDrrn2bGf
 Spotify: https://t.co/CcpJFTACWH",https://twitter.com/wojespn/status/1341469854600192000,5,,,,,,
"@mortreport @AdamSchefter Happy Birthday, 🐐.",https://twitter.com/wojespn/status/1341204421083062272,5,,,,,,
"ESPN's front-office insider @BobbyMarks42 on what's next for players who didn't sign rookie extensions today, including Lonzo Ball, John Collins, Lauri Markkanen and Jarrett Allen on ESPN+: https://t.co/tmHaDQVahk",https://twitter.com/wojespn/status/1341171871128186881,4,,,,,,
"ESPN story on O.G. Anunoby and Raptors agreeing to a four-year, $72M contract extension with player option: https://t.co/ZQ0duzMf3d",https://twitter.com/wojespn/status/1341166037987946498,5,,,,,,
"Spurs and White gets a deal done before the 6 PM deadline. White is another one of the franchise's great development stories, the 29th overall pick in the 2017 NBA Draft becoming one of the team's future cornerstones. https://t.co/MilrdyLPbS",https://twitter.com/wojespn/status/1341158700287987712,4,,,,,,
"San Antonio Spurs guard Derrick White has agreed to a four-year, $73M extension, his agent Mike Lindeman of @excelsm_bball tells ESPN.",https://twitter.com/wojespn/status/1341157947334914048,4,,,,,,
"Remarkable rise for Anunoby, who arrived at Indiana for Tom Crean as the 294th ranked high school senior and entered the draft with Wilkes with a torn ACL on the way to the Raptors selecting him 23rd overall in 2017.",https://twitter.com/wojespn/status/1341154079192576002,0,,,,,,
"Toronto Raptors forward O.G. Anunoby has agreed to a four-year, $72 million extension, including a player-option for the 2024-2025 season, @KlutchSports Head of Basketball Omar Wilkes tells ESPN.",https://twitter.com/wojespn/status/1341153643056214021,4,,,,,,
"Jonathan Isaac has agreed to a four-year, $80M extension with the Orlando Magic, his agent Jeff Wechsler tells ESPN.",https://twitter.com/wojespn/status/1341148369415262208,4,,,,,,
"Long journey for Fultz, the former No. 1 overall pick, to a $50M rookie extension with the Magic. Orlando has been thrilled with his progress there, and he's become a key part of franchise's future. https://t.co/TTxCnzvn72",https://twitter.com/wojespn/status/1341145958118281220,4,,,,,,
"Markelle Fultz has agreed to a three-year, $50 million extension with Orlando, his agent Raymond Brothers of @RocNationSports tells ESPN.",https://twitter.com/wojespn/status/1341145517879930881,4,,,,,,
ESPN story on Luke Kennard and Clippers reaching agreement on four-year extension worth as much as $64M: https://t.co/m3ZS3j0gIF,https://twitter.com/wojespn/status/1341135213611671553,5,,,,,,
"The deal includes $56 million in guaranteed money, with a majority of the additional $8 million in incentives considered reachable, Mintz and Spahn say.",https://twitter.com/wojespn/status/1341132939724271622,4,,,,,,
"Los Angeles Clippers guard Luke Kennard has agreed to a four-year, $64 million contract extension, his agents Aaron Mintz and Dave Spahn of @caa_sports tell ESPN.",https://twitter.com/wojespn/status/1341131429921648641,4,,,,,,
"There will be no agreement on a rookie extension for Pelicans guard Lonzo Ball, @KlutchSports CEO Rich Paul tells ESPN. Ball will become a restricted free agent next summer. Both sides remain positive about the ability to move forward together, Paul tells ESPN.",https://twitter.com/wojespn/status/1341130677320867841,4,,,,,,
NBA announces loss of second-round pick for the Bucks. https://t.co/gHxSRj3lNO,https://twitter.com/wojespn/status/1341067526197932032,1,,,,,,
ESPN story on Kyle Kuzma and Lakers reaching agreement on a three-year rookie contract extension: https://t.co/nvTYKJj1Y9,https://twitter.com/wojespn/status/1340782563896545280,3,,,,,,
"Player option on a non-max rookie extension is a first in league, a creative wrinkle that allows Kuzma into unrestricted free agency in his prime at 28. Smart move and great benefit for Kuzma should he out-perform this deal headed into summer of 2023.",https://twitter.com/wojespn/status/1340777104884023296,4,,,,,,
"Los Angeles Lakers forward Kyle Kuzma has agreed to a three-year, $40M contract extension, including a player option on 2023-2024 season, sources tell ESPN.",https://twitter.com/wojespn/status/1340776951687114759,4,,,,,,
"Utah Jazz center Rudy Gobert has agreed to a five-year, $205M extension, @ESPN_MacMahon reports. Jazz’s two cornerstones — Gobert and Donovan Mitchell — are now under contract on long term deals. https://t.co/AELJdGiYKC",https://twitter.com/wojespn/status/1340673535077994496,4,,,,,,
"Danny Ferry is returning to the San Antonio Spurs in a front office consulting role, sources tell ESPN. Spurs are also adding USA Basketball's Samson Kayode in a player personnel role in the front office, sources said.",https://twitter.com/wojespn/status/1339991183452499969,,,,,,,
"Also in story: While the Sixers have signaled a willingness to include All-Star guard Ben Simmons in trade packages for Harden, those talks have come nowhere close to a deal, sources said. https://t.co/bbP3k3uNci",https://twitter.com/wojespn/status/1339714678344331265,3,,,,,,
ESPN reporting with @ramonashelburne: The Houston Rockets are increasingly expanding trade discussions on James Harden beyond his preferred destinations of Brooklyn and Philadelphia. Full story: https://t.co/pt6AByyywa,https://twitter.com/wojespn/status/1339713176296951808,5,,,,,,
"NBA Board of Governors are approving a March 25 trade deadline, sources tell ESPN.",https://twitter.com/wojespn/status/1339703170377900032,1,,,,,,
"Sources: Among items NBA Board of Governors are expected to approve in meeting this afternoon: Ryan Smith’s purchase of Utah Jazz, expanding active rosters to 15 on game nights, permanently adopting coaching challenge and amending several trade rules.",https://twitter.com/wojespn/status/1339688618437304321,1,,,,,,
"The Woj Pod w/ Ian Eagle: We did get to KD/Kyrie Nets, but detoured to his early broadcasting days on Exit 16W with Derrick Coleman and Yinka Dare; plus late nights with Raftery and broadcasting in COVID age. A fun visit. 
 https://t.co/CYZVK6HYh6
  https://t.co/UEf1PyiMgB",https://twitter.com/wojespn/status/1339600503085228038,5,,,,,,
"As @Giannis_An34 tweeted, he is signing his extension with the Bucks. His agent, Alex Saratsis, tells ESPN it will be for the full five-year, $228M super max, including an opt-out after the fourth year.",https://twitter.com/wojespn/status/1338913198775422977,4,,,,,,
ESPN reporting with @RamonaShelburne: The arrival of John Wall has left All-NBA guard James Harden unmoved and uninterested in pursuing a new partnership and the franchise star continues to push the Houston Rockets for a trade. https://t.co/v1ldmebYqd,https://twitter.com/wojespn/status/1338469547255459840,5,,,,,,
Full audio of Doris Burke on The Woj Pod: https://t.co/09WSCfXQJs https://t.co/CpVCXGaNYI,https://twitter.com/wojespn/status/1338335286061912070,5,,,,,,
"Free agent G Tyler Hall agreed to a non-guaranteed deal with the Knicks, source tells ESPN. He'll return to play another season with Westchester of the G-League.",https://twitter.com/wojespn/status/1337523384750661634,4,,,,,,
The enthusiasm leaps through your EarPods. Doris Burke on The Woj Pod: https://t.co/NWZ5pZ3bCQ https://t.co/dYDSsd7jGW,https://twitter.com/wojespn/status/1337417125661708288,5,,,,,,
"Former Chicago Bulls GM Gar Forman is joining the New Orleans Pelicans front office as a special advisor, sources tell ESPN. Forman will focus in the scouting area for David Griffin and Trajan Langdon.",https://twitter.com/wojespn/status/1337175762307338243,,,,,,,
"Spotify: https://t.co/09WSCfXQJs
 Apple: https://t.co/NWZ5pZ3bCQ https://t.co/zaDIIdoUyU",https://twitter.com/wojespn/status/1337130559659794434,5,,,,,,
ESPN story on All-Star F Paul George signing an extension with the Clippers that guarantees him as much as $226M over the next five years: https://t.co/ULnqbyESQ0,https://twitter.com/wojespn/status/1337101780249882624,5,,,,,,
"The Clippers are extending George’s contract for an additional four years, $190M on top of the $35.4M guaranteed him in the 2020-2021 season. George will have a new player option before the 2024-2025 season, Mintz said. https://t.co/3zrOc53WFT",https://twitter.com/wojespn/status/1337098891976650757,4,,,,,,
"All-Star forward Paul George has signed a maximum contract extension with the Los Angeles Clippers that’ll guarantee him as much as $226 million over the next five years, his agent Aaron Mintz of @CAA_Basketball tells ESPN.",https://twitter.com/wojespn/status/1337098777807745028,4,,,,,,
"Hall of Fame analyst Doris Burke joins The Woj Pod to discuss the big storylines heading into the season: Giannis, Harden, the Lakers, the virus' impact on the league, much more.
 ESPN audio: https://t.co/Nv0XdHXuNI",https://twitter.com/wojespn/status/1337082277357031425,5,,,,,,
"Atlanta Hawks All-Star guard @TheTraeYoung is getting a signature shoe and apparel series with Adidas that launches in the fall of 2021, he tells @Rachel__Nichols on The Jump.",https://twitter.com/wojespn/status/1336767845640892421,0,,,,,,
What’s next for James Harden and the Rockets with @notthefakeSVP https://t.co/Xh5X8JFOi2,https://twitter.com/wojespn/status/1336556486227603456,5,,,,,,
"@SBondyNYDN We can dream, Stefan.",https://twitter.com/wojespn/status/1336471229692309505,5,,,,,,
"Coaches must wear masks at all times with limited exceptions when at team facilities or arena, during team travel and during practices and games, sources tell ESPN. https://t.co/NemTeew00d",https://twitter.com/wojespn/status/1336470894655508482,1,,,,,,
"NBA coaches are no longer required to wear a sports coats during games, sources tell @ZachLowe_NBA and me. Coaches must wear business attire (no track pants during games). Coaches must wear facemasks during games, sources said.",https://twitter.com/wojespn/status/1336470460821856259,1,,,,,,
"Andrew White has agreed to an Exhibit 10 deal with the Knicks, source tells ESPN.",https://twitter.com/wojespn/status/1336416898347622408,4,,,,,,
"Harden took his test at the Rockets' Toyota Center in Houston, league source tells ESPN. https://t.co/UJmSj9Ruf2",https://twitter.com/wojespn/status/1336388671654817797,0,,,,,,
"James Harden has arrived in Houston and tested in accordance with the NBA's protocol today, league source tells ESPN.",https://twitter.com/wojespn/status/1336387837839749124,0,,,,,,
Teams would be reluctant to give up the assets required to get a player of Harden’s caliber without confidence that he would be willing to remain long-term. Few contenders have ability to furnish Houston with the combination of assets that it’s seeking to consider dealing Harden. https://t.co/VQlSZCrUAa,https://twitter.com/wojespn/status/1336361820282621956,3,,,,,,
"Reporting w/ @ESPN_MacMahon: James Harden has recently indicated to Houston he'd be open to a trade to Philadelphia or other contenders. So far, no substantive talks with Sixers. Daryl Morey's been adamant he wants to keep his two young stars. https://t.co/9ZFKB8MSGx",https://twitter.com/wojespn/status/1336361078251511808,3,,,,,,
"ESPN story on G Monte Morris reaching agreement on a three-year, $27M extension with the Denver Nuggets: https://t.co/R64MTU4b00",https://twitter.com/wojespn/status/1336120825573937153,5,,,,,,
"Remarkable rise for Morris, the 51st overall pick in the 2017 NBA Draft.",https://twitter.com/wojespn/status/1336114515537240064,0,,,,,,
"Denver Nuggets G Monte Morris has agreed to a three-year, $27M extension, his agent Ron Shade tells ESPN.",https://twitter.com/wojespn/status/1336114210296762370,4,,,,,,
Three members of Raptors organization test positive for Covid-19. https://t.co/3yFEXNMZf4,https://twitter.com/wojespn/status/1335992982038786050,,,,,,,
"@mcten Great columnist, even better man. An absolute Philly legend. RIP John.",https://twitter.com/wojespn/status/1335733421251899394,5,,,,,,
"Happy 26th birthday to @Giannis_An34. 
 
 Episode 2: https://t.co/DvO2pB4MZL
 Episode 3: https://t.co/v3WL4VVkLt https://t.co/zZfpFzqYKb",https://twitter.com/wojespn/status/1335634078805225474,0,,,,,,
@RyanRuocco @CC_Sabathia @GeorgeAKingIII @R2C2 Congrats on retirement to one of the true greats.,https://twitter.com/wojespn/status/1335606512606195717,5,,,,,,
"ESPN reporting with @Baxter, @malika_andrews and @TimBontemps on the NBA warning of severe punishments to organizations and players in violation of COVID-19 guidelines this season: https://t.co/LFuB810gHW",https://twitter.com/wojespn/status/1335311960326479873,5,,,,,,
Full audio of Blazers president Neil Olshey on The Woj Pod: https://t.co/8w2OlGkrtQ https://t.co/bl2FeEZa3T,https://twitter.com/wojespn/status/1335290415495393280,5,,,,,,
"Teams are extremely aware of this element and it's a huge concern, especially with the punishments handed down in the NFL this season. https://t.co/rSTrpg8xHL",https://twitter.com/wojespn/status/1335289661204406274,1,,,,,,
"The NBA will also provide twice-a-week testing for household members of players and staff, memo says. League is encouraging that to ""enhance their protection throughout the season.""",https://twitter.com/wojespn/status/1335288123790684165,1,,,,,,
"Traveling amid the pandemic is a great challenge for teams in this new season; NBA and NBPA are searching for ways to allow some freedom, but also limit exposure to the virus. Teams will be notified of the vetting process for ""approved restaurants"" soon, league says. https://t.co/ukt9WvIjtd",https://twitter.com/wojespn/status/1335287431759794184,1,,,,,,
"At home, players and staff are not allowed to enter: Bars/lounges/clubs; live entertainment/gaming venues (with limited exceptions), public gyms/spas/pool areas, or large indoor social gatherings (15 or more people), NBA tells teams in expanded Health and Safety Guide.",https://twitter.com/wojespn/status/1335286403433984002,1,,,,,,
"NBA shared an additional Health and Safety guide w/ teams -- this time, 158 pages -- allowing for team/player dining at ""approved restaurants"" on trips, outdoor dining, or indoor restaurant in ""fully privatized space,"" according to document obtained by ESPN. Details, details.",https://twitter.com/wojespn/status/1335285429394923524,1,,,,,,
"@Ian_OConnor Ian: You’ve long set the standard as as a tenacious reporter, columnist, author and friend. There’s a whole generation of us in debt to your generosity. Thrilled to know we will be reading you again soon.",https://twitter.com/wojespn/status/1335097100019900418,5,,,,,,
Full audio of Neil Olshey on The Woj Pod: https://t.co/GLh8aYeXpv https://t.co/fR9Gm5NL29,https://twitter.com/wojespn/status/1334982344760045569,5,,,,,,
"Blazers president Neil Olshey joins The Woj Pod: Retooling roster around Lillard/McCollum, impact of Carmelo Anthony on franchise, importance of established players amid pandemic uncertainty, remembering The Bubble. 
 ESPN: https://t.co/Ka4gdh6zNw
 Spotify: https://t.co/KZA3iwhmLl",https://twitter.com/wojespn/status/1334976514660708358,5,,,,,,
"@B_VillJC Happy Birthday, my friend!",https://twitter.com/wojespn/status/1334954021342367746,5,,,,,,
Russell Westbrook brings back his high school number: 4. https://t.co/jb1HgptAe3,https://twitter.com/wojespn/status/1334674743769915393,0,,,,,,
Sources: NBA’s Competition Committee registered strong support today for increasing league’s active player list for games from 13 to 15. Board of Governors must give final approval to a move that makes sense given shortened season and concerns over Covid impact on rosters.,https://twitter.com/wojespn/status/1334641456422719488,1,,,,,,
"Official: Anthony Davis has formally agreed to his five-year, $190M deal with the Lakers, @KlutchSports CEO Rich Paul tells ESPN. https://t.co/dvRpEb8C0r",https://twitter.com/wojespn/status/1334562002874806278,4,,,,,,
Best of the best. https://t.co/S7QuEH3wuv,https://twitter.com/wojespn/status/1334506584844742656,5,,,,,,
"ESPN story on free agent Anthony Davis finalizing a 5-year, $190M deal to stay with the Lakers: https://t.co/1ILYuhcvfI",https://twitter.com/wojespn/status/1334478164404350983,5,,,,,,
"All-NBA forward Anthony Davis is finalizing a five-year, $190M maximum contract to stay with the Los Angeles Lakers, @KlutchSports CEO Rich Paul tells ESPN. The deal includes an early termination option prior to fifth season in 2024-2025. Deal could be signed as soon as today.",https://twitter.com/wojespn/status/1334477520939474945,4,,,,,,
ESPN story on the Russell Westbrook-John Wall trade: https://t.co/oiMEO0yvFw,https://twitter.com/wojespn/status/1334316459598745600,5,,,,,,
"The two GM's -- Washington's Tommy Sheppard and Houston's Rafael Stone -- hadn't talked in weeks on the deal, but connected this afternoon and had a deal done within a few hours, sources tell ESPN. https://t.co/qmuPclNoU5",https://twitter.com/wojespn/status/1334303767399952391,4,,,,,,
"Houston has agreed to trade Russell Westbrook to Washington for John Wall and a first-round pick, sources tell ESPN.",https://twitter.com/wojespn/status/1334300248743813125,4,,,,,,
ESPN story on Joakim Noah -- one of the era's most thoughtful and tenacious players -- exiting the Clippers and headed toward retirement. https://t.co/XZ50GT1ZmS,https://twitter.com/wojespn/status/1333965047861809153,5,,,,,,
"Duffy: ""It’s been my honor to represent Joakim through his journey.” https://t.co/bo9kbfMOKB",https://twitter.com/wojespn/status/1333961531101474816,5,,,,,,
"Bill Duffy on Noah: “What an illustrious career for Joakim, starting with two national titles at the University of Florida, to becoming an NBA Defensive Player of the Year and ultimately evolving into one of the most passionate, spirited players to ever come through our sport..."" https://t.co/w0t8Gkbghv",https://twitter.com/wojespn/status/1333961440512913408,0,,,,,,
"Clippers are waiving center Joakim Noah -- and his agent, Bill Duffy of @BDA_Sports, tells ESPN that Noah is “likely headed toward retirement.” One of his era’s most ferocious competitors, Noah played 13 seasons, made two All-Star games and was a 3-time All-Defensive team choice.",https://twitter.com/wojespn/status/1333960932989472768,4,,,,,,
ESPN story on guard Reggie Jackson returning to the Clippers on a one-year deal: https://t.co/VE0QmM8IP3,https://twitter.com/wojespn/status/1333951670825480199,5,,,,,,
ESPN Sources: Tentative Christmas Day Schedule https://t.co/MId025HKvB,https://twitter.com/wojespn/status/1333944080682917889,1,,,,,,
"Free agent guard Reggie Jackson is returning to the Los Angeles Clippers on a one-year deal, sources tell ESPN. Jackson is expected to play a prominent role in the Clippers backcourt rotation.",https://twitter.com/wojespn/status/1333936089141293061,4,,,,,,
"Guard R.J. Hampton -- the 24th pick in the 2020 NBA Draft -- has signed his rookie deal with the Denver Nuggets, agent @DanielWFrank of Lift Sports Management tells ESPN. Hampton completed his buyout agreement with the New Zealand Breakers on Monday night, Frank said.",https://twitter.com/wojespn/status/1333810031746277378,4,,,,,,
ESPN story on Lithuanian G/F Deividas Sirvydis agreeing to a three-year deal to join the Detroit Pistons. https://t.co/Xrr3MwUHhF,https://twitter.com/wojespn/status/1333805396801298433,5,,,,,,
"Lithuanian G/F Deividas Sirvydis has agreed to a three-year contract with the Detroit Pistons, agent Michael Tellem of @caa_sports and agent Marius Rutkauskas tell ESPN. Sirvydis was selected with the 37th overall pick in the 2019 NBA Draft.",https://twitter.com/wojespn/status/1333794441652432906,4,,,,,,
"Free agent C Ike Anigbogu has signed a deal with the New Orleans Pelicans, source tells ESPN. Anigbogu, 22, was an Indiana second-round pick in 2017.",https://twitter.com/wojespn/status/1333781912712867840,4,,,,,,
"LaMelo Ball — the No. 3 overall pick in the NBA Draft — has signed his rookie contract with the Charlotte Hornets, his agent Raymond Brothers of @RocNationSports tells ESPN.",https://twitter.com/wojespn/status/1333566246575611904,4,,,,,,
Dudley comes back to the Lakers for his 14th NBA season. He played 45 regular season games and nine in the postseason in LA’s title run. His presence in that locker room carries great value within the organization. https://t.co/rLYVPJyxu8,https://twitter.com/wojespn/status/1333560223823491073,0,,,,,,
"Free agent G Jared Dudley has agreed to a 1-year, $2.6M deal to return to the Lakers, agent Mark Bartelstein of @PrioritySports tells me and @ZachLowe_NBA.",https://twitter.com/wojespn/status/1333558277079265282,4,,,,,,
"Two-year guaranteed deal for Oturu, the Big 10 leader in rebounds and blocks, his agent @KB_Sports tells ESPN. https://t.co/2XRluoGJhO",https://twitter.com/wojespn/status/1332762057117143042,4,,,,,,
ESPN story on the NBA laying out Covid-19 protocols on cusp of training camps: https://t.co/ox3KkcEJIf,https://twitter.com/wojespn/status/1332742633765138434,5,,,,,,
"Michigan State F Xavier Tillman Sr., -- the 35th pick in the draft -- is signing a four-year deal with the Memphis Grizzlies, sources tell ESPN. The Grizzlies moved up on draft night to secure Tillman Sr., in a trade.",https://twitter.com/wojespn/status/1332732814232612866,4,,,,,,
"Under ""Circumstances for Cancellation of 2020-2021 season,"" NBA says: Occurrence of independent cases (i.e, cases not spread among players or team staff) or a small or otherwise expected number of COVID-19 cases will not require a decision to suspend or cancel the 2020-21 season.",https://twitter.com/wojespn/status/1332728335642800129,1,,,,,,
One of the key facts of protocol guide: https://t.co/OzIeKmTQpn,https://twitter.com/wojespn/status/1332726399875035138,1,,,,,,
"As NBA organizations begin daily coronavirus testing this weekend and prepare for start of training camps next week, teams were issued a 134-page ""Health and Safety Protocol Guide"" for the 2020-2021 season this morning, per sources. Now, the NBA tries this outside of a bubble.",https://twitter.com/wojespn/status/1332722887774662658,1,,,,,,
"San Antonio has signed the 41st pick in the draft – Duke guard Tre Jones – to a three-year deal, agent @KB_Sports of @BDA_Sports tells ESPN. A three-year deal allows Jones to enter restricted free agency sooner than the traditional four-year contract of second-round picks.",https://twitter.com/wojespn/status/1332429527344156673,4,,,,,,
*THREE future second-round picks,https://twitter.com/wojespn/status/1332410440689856515,,,,,,,
"Cavaliers gathered there future second-round picks in past 10 days in deals with Bucks, Lakers and Jazz. https://t.co/BbLfRwAQC5",https://twitter.com/wojespn/status/1332410211655626752,,,,,,,
"Jazz are sending G Rayjon Tucker and a future second-round pick to the Cavaliers for cash, sources tell ESPN.",https://twitter.com/wojespn/status/1332409384736071681,4,,,,,,
"Free agent F Alize Johnson has agreed to a deal with the Toronto Raptors, source tells ESPN. Johnson spent the past two seasons with the Pacers.",https://twitter.com/wojespn/status/1332390345284456448,4,,,,,,
